"Date","総平均(除く国際運輸)","総平均"
"86年01月",0.8,0.3
"86年02月",1,0.4
"86年03月",0.9,0.3
"86年04月",0.6,0
"86年05月",0.6,-0.1
"86年06月",0.7,0.1
"86年07月",0.6,0
"86年08月",0.8,0.2
"86年09月",0.7,0.2
"86年10月",0.7,0.3
"86年11月",0.7,0.5
"86年12月",0.7,0.5
"87年01月",0.7,0.4
"87年02月",0.6,0.4
"87年03月",0.6,0.3
"87年04月",0.8,0.6
"87年05月",0.8,0.6
"87年06月",0.6,0.4
"87年07月",0.7,0.7
"87年08月",0.7,0.6
"87年09月",0.7,0.6
"87年10月",0.7,0.6
"87年11月",0.8,0.5
"87年12月",0.8,0.5
"88年01月",0.9,0.7
"88年02月",0.8,0.6
"88年03月",1,0.8
"88年04月",1.1,1
"88年05月",1.1,1.1
"88年06月",1.5,1.4
"88年07月",1.5,1.3
"88年08月",1.4,1.4
"88年09月",1.4,1.4
"88年10月",2,1.9
"88年11月",1.9,1.9
"88年12月",1.9,1.9
"89年01月",2.1,2.2
"89年02月",2.2,2.2
"89年03月",2.3,2.4
"89年04月",5.1,5
"89年05月",5.1,5.1
"89年06月",5.1,5.2
"89年07月",5.2,5.3
"89年08月",5.3,5.3
"89年09月",5.5,5.6
"89年10月",5.2,5.2
"89年11月",5.2,5.3
"89年12月",5.2,5.3
"90年01月",5.3,5.4
"90年02月",5.4,5.6
"90年03月",5.3,5.5
"90年04月",3.2,3.6
"90年05月",3.4,3.5
"90年06月",3.1,3.3
"90年07月",3.5,3.5
"90年08月",3.6,3.6
"90年09月",3.6,3.4
"90年10月",3.9,3.9
"90年11月",4.1,4
"90年12月",4.2,4.1
"91年01月",3.7,3.6
"91年02月",3.5,3.4
"91年03月",3.4,3
"91年04月",3,2.8
"91年05月",3,2.9
"91年06月",3.1,3
"91年07月",3.4,3.3
"91年08月",3.4,3.4
"91年09月",3.2,3.2
"91年10月",2.8,2.7
"91年11月",2.7,2.6
"91年12月",2.8,2.7
"92年01月",2.4,2.3
"92年02月",2.6,2.4
"92年03月",2.7,2.6
"92年04月",2.6,2.4
"92年05月",2.5,2.2
"92年06月",2.2,2
"92年07月",1.7,1.5
"92年08月",1.6,1.4
"92年09月",1.6,1.4
"92年10月",1.6,1.5
"92年11月",1.4,1.3
"92年12月",1.3,1.3
"93年01月",1.2,1.2
"93年02月",1.2,1.1
"93年03月",1.1,1.1
"93年04月",0.4,0.4
"93年05月",0.4,0.4
"93年06月",0.5,0.4
"93年07月",0.3,0.3
"93年08月",0.2,0.1
"93年09月",0.3,0.2
"93年10月",-0.3,-0.4
"93年11月",-0.3,-0.4
"93年12月",-0.4,-0.5
"94年01月",-0.1,-0.2
"94年02月",-0.2,-0.3
"94年03月",-0.1,-0.3
"94年04月",-0.7,-0.8
"94年05月",-0.8,-0.9
"94年06月",-0.9,-0.9
"94年07月",-1.1,-1.2
"94年08月",-1.2,-1.2
"94年09月",-1.3,-1.3
"94年10月",-1.2,-1.2
"94年11月",-1.1,-1.1
"94年12月",-1.1,-1.1
"95年01月",-1.5,-1.5
"95年02月",-1.2,-1.2
"95年03月",-1.2,-1.3
"95年04月",-1.2,-1.3
"95年05月",-1.2,-1.2
"95年06月",-1.2,-1.2
"95年07月",-0.9,-0.9
"95年08月",-1.1,-1.1
"95年09月",-1.1,-1
"95年10月",-1,-0.9
"95年11月",-1,-1
"95年12月",-1,-1
"96年01月",-1.7,-1.6
"96年02月",-1.9,-1.8
"96年03月",-1.9,-1.8
"96年04月",-1.8,-1.5
"96年05月",-1.9,-1.7
"96年06月",-1.9,-1.6
"96年07月",-1.8,-1.7
"96年08月",-1.5,-1.5
"96年09月",-1.6,-1.6
"96年10月",-1.5,-1.5
"96年11月",-1.4,-1.4
"96年12月",-1.3,-1.3
"97年01月",-1.3,-1.2
"97年02月",-1.4,-1.2
"97年03月",-1,-0.9
"97年04月",0.6,0.8
"97年05月",0.9,0.9
"97年06月",1,0.9
"97年07月",1,1.1
"97年08月",1,1.2
"97年09月",1.1,1.2
"97年10月",1.1,1.2
"97年11月",1.2,1.3
"97年12月",1.1,1.3
"98年01月",1.1,1.1
"98年02月",1.2,1.1
"98年03月",1.1,1.1
"98年04月",-0.7,-0.8
"98年05月",-0.9,-0.8
"98年06月",-0.9,-0.7
"98年07月",-0.9,-0.8
"98年08月",-1,-1
"98年09月",-1,-1
"98年10月",-1,-1.1
"98年11月",-1.2,-1.3
"98年12月",-1.2,-1.4
"99年01月",-1.2,-1.4
"99年02月",-1.2,-1.3
"99年03月",-1.1,-1.3
"99年04月",-1.1,-1.3
"99年05月",-1.2,-1.3
"99年06月",-1.2,-1.5
"99年07月",-1.1,-1.3
"99年08月",-1,-1.2
"99年09月",-1,-1.2
"99年10月",-0.9,-1.1
"99年11月",-0.8,-1
"99年12月",-0.6,-0.8
"00年01月",-0.8,-0.8
"00年02月",-0.6,-0.7
"00年03月",-0.7,-0.6
"00年04月",-0.9,-0.8
"00年05月",-0.7,-0.7
"00年06月",-0.8,-0.7
"00年07月",-0.8,-0.7
"00年08月",-0.8,-0.7
"00年09月",-1,-0.8
"00年10月",-1,-0.7
"00年11月",-1,-0.7
"00年12月",-1,-0.6
"01年01月",-2.2,-2
"01年02月",-2.3,-2.1
"01年03月",-2.4,-2.3
"01年04月",-2.6,-2.4
"01年05月",-2.9,-2.8
"01年06月",-3.1,-3
"01年07月",-2.8,-2.8
"01年08月",-2.7,-2.6
"01年09月",-2.8,-2.7
"01年10月",-2.7,-2.7
"01年11月",-2.8,-2.7
"01年12月",-2.8,-2.7
"02年01月",-2.8,-2.8
"02年02月",-2.6,-2.5
"02年03月",-2.5,-2.5
"02年04月",-2.2,-2.3
"02年05月",-2.1,-2.1
"02年06月",-2,-2
"02年07月",-2.1,-2.2
"02年08月",-2.1,-2.1
"02年09月",-2,-2
"02年10月",-2.4,-2.3
"02年11月",-2.1,-2.1
"02年12月",-1.8,-1.9
"03年01月",-1.9,-1.8
"03年02月",-2,-2
"03年03月",-1.9,-1.8
"03年04月",-2,-2
"03年05月",-2.1,-2.1
"03年06月",-2,-2
"03年07月",-2,-1.8
"03年08月",-1.7,-1.7
"03年09月",-1.6,-1.5
"03年10月",-1.4,-1.3
"03年11月",-1.3,-1.2
"03年12月",-1.5,-1.4
"04年01月",-1.4,-1.4
"04年02月",-1.4,-1.4
"04年03月",-1.2,-1.2
"04年04月",-1.2,-1.1
"04年05月",-1.1,-0.9
"04年06月",-1,-0.7
"04年07月",-0.9,-0.9
"04年08月",-1,-0.8
"04年09月",-1,-0.9
"04年10月",-0.9,-0.7
"04年11月",-1.1,-0.9
"04年12月",-1,-0.9
"05年01月",-1,-0.9
"05年02月",-0.9,-0.8
"05年03月",-1.1,-1
"05年04月",-0.6,-0.5
"05年05月",-0.5,-0.5
"05年06月",-0.6,-0.6
"05年07月",-0.8,-0.6
"05年08月",-0.8,-0.8
"05年09月",-0.7,-0.6
"05年10月",-0.6,-0.5
"05年11月",-0.5,-0.5
"05年12月",-0.5,-0.4
"06年01月",-1.1,-1
"06年02月",-0.9,-0.8
"06年03月",-0.8,-0.8
"06年04月",-0.4,-0.3
"06年05月",-0.4,-0.4
"06年06月",-0.4,-0.3
"06年07月",-0.3,-0.3
"06年08月",-0.2,0
"06年09月",-0.3,-0.2
"06年10月",-0.2,-0.3
"06年11月",0.1,0
"06年12月",-0.1,-0.1
"07年01月",0,0.1
"07年02月",-0.1,-0.1
"07年03月",-0.1,-0.1
"07年04月",-0.3,-0.2
"07年05月",-0.3,-0.1
"07年06月",-0.3,-0.1
"07年07月",-0.2,0
"07年08月",-0.1,0
"07年09月",-0.1,0
"07年10月",-0.3,0
"07年11月",-0.2,0
"07年12月",0.2,0.4
"08年01月",0.1,0.3
"08年02月",0.1,0.3
"08年03月",0,0.2
"08年04月",0.2,0.3
"08年05月",0.1,0.3
"08年06月",0.2,0.5
"08年07月",0.1,0.5
"08年08月",0.4,0.7
"08年09月",0,0.2
"08年10月",0.2,0.1
"08年11月",-0.1,-0.2
"08年12月",-0.6,-0.8
"09年01月",-0.5,-0.9
"09年02月",-0.5,-0.8
"09年03月",-0.6,-0.9
"09年04月",-1.1,-1.4
"09年05月",-1.3,-1.7
"09年06月",-1.4,-1.9
"09年07月",-1.5,-2
"09年08月",-1.8,-2.3
"09年09月",-1.6,-2
"09年10月",-1.8,-1.9
"09年11月",-1.8,-1.9
"09年12月",-1.6,-1.6
"10年01月",-1.9,-1.7
"10年02月",-1.8,-1.7
"10年03月",-1.7,-1.5
"10年04月",-1.8,-1.6
"10年05月",-1.5,-1.3
"10年06月",-1.4,-1.3
"10年07月",-1.4,-1.4
"10年08月",-1.5,-1.4
"10年09月",-1.5,-1.4
"10年10月",-1.4,-1.4
"10年11月",-1.3,-1.2
"10年12月",-1.3,-1.3
"11年01月",-1.1,-1.1
"11年02月",-1,-1
"11年03月",-1,-1
"11年04月",-0.9,-0.9
"11年05月",-0.9,-1
"11年06月",-1,-0.9
"11年07月",-0.8,-0.8
"11年08月",-0.6,-0.6
"11年09月",-0.5,-0.4
"11年10月",-0.3,-0.3
"11年11月",-0.3,-0.3
"11年12月",-0.4,-0.4
"12年01月",-0.3,-0.4
"12年02月",-0.5,-0.5
"12年03月",-0.3,-0.2
"12年04月",0,0.1
"12年05月",0,0
"12年06月",-0.2,-0.3
"12年07月",-0.3,-0.3
"12年08月",-0.3,-0.4
"12年09月",-0.4,-0.5
"12年10月",-0.7,-0.7
"12年11月",-0.5,-0.5
"12年12月",-0.2,-0.2
"13年01月",-0.4,-0.3
"13年02月",-0.2,-0.1
"13年03月",-0.2,-0.2
"13年04月",-0.4,-0.3
"13年05月",-0.2,-0.1
"13年06月",-0.1,0
"13年07月",0,0.1
"13年08月",0,0.2
"13年09月",0,0.1
"13年10月",0.1,0.2
"13年11月",0.2,0.4
"13年12月",0.2,0.4
"14年01月",0.3,0.4
"14年02月",0.4,0.4
"14年03月",0.5,0.5
"14年04月",3.2,3.1
"14年05月",3.4,3.4
"14年06月",3.4,3.4
"14年07月",3.4,3.4
"14年08月",3.5,3.4
"14年09月",3.4,3.4
"14年10月",3.5,3.5
"14年11月",3.5,3.4
"14年12月",3.4,3.3
"15年01月",3.4,3.3
"15年02月",3.2,3.1
"15年03月",3.1,3.1
"15年04月",0.7,0.6
"15年05月",0.6,0.5
"15年06月",0.5,0.4
"15年07月",0.6,0.5
"15年08月",0.6,0.6
"15年09月",0.5,0.4
"15年10月",0.4,0.3
"15年11月",0.4,0.3
"15年12月",0.5,0.3
"16年01月",0.4,0.2
"16年02月",0.3,0.1
"16年03月",0.5,0.2
"16年04月",0.4,0.2
"16年05月",0.4,0.1
"16年06月",0.4,0.1
"16年07月",0.5,0.2
"16年08月",0.3,0.1
"16年09月",0.5,0.3
"16年10月",0.6,0.4
"16年11月",0.4,0.4
"16年12月",0.5,0.5
"17年01月",0.4,0.5
"17年02月",0.6,0.7
"17年03月",0.7,0.8
"17年04月",0.8,0.8
"17年05月",0.7,0.8
"17年06月",0.7,0.8
"17年07月",0.6,0.6
"17年08月",0.7,0.8
"17年09月",0.7,0.8
"17年10月",0.8,1
"17年11月",0.8,0.9
"17年12月",0.9,1
"18年01月",0.9,0.9
"18年02月",0.9,1
"18年03月",0.7,0.8
"18年04月",1,1.1
"18年05月",0.8,0.9
"18年06月",1,1.1
"18年07月",1.1,1.3
"18年08月",1.2,1.3
"18年09月",1.1,1.3
"18年10月",1.3,1.4
"18年11月",1.3,1.4
"18年12月",1.1,1.1
"19年01月",1,1.1
"19年02月",1,1
"19年03月",1.1,1.1
"19年04月",0.9,1
"19年05月",1,0.9
"19年06月",0.7,0.7
"19年07月",0.5,0.5
"19年08月",0.5,0.5
"19年09月",0.6,0.5
"19年10月",2.1,2
"19年11月",2.1,2
"19年12月",2.1,2.1
"20年01月",2.2,2.3
"20年02月",2.1,2.1
"20年03月",1.6,1.6
"20年04月",0.9,1
"企業向けサービス価格指数(月次):[企業向けサービス価格指数]:(前年比):% Source:日本銀行",,
"企業向けサービス価格指数",,
