"Date","M2","M3","広義流動性"
"03年04月",1.3,0.5,0.2
"03年05月",1.6,0.7,-0.4
"03年06月",1.8,0.8,0.2
"03年07月",1.8,0.8,0.4
"03年08月",1.9,0.9,0.7
"03年09月",1.8,0.8,0.7
"03年10月",1.5,0.7,0.5
"03年11月",1.5,0.7,0.8
"03年12月",1.5,0.7,1.1
"04年01月",1.6,0.8,1
"04年02月",1.7,0.8,1.1
"04年03月",1.7,0.9,0.9
"04年04月",1.8,1.2,1.7
"04年05月",2,1.2,3
"04年06月",1.7,1.1,2.8
"04年07月",1.8,1.1,2.9
"04年08月",1.9,1.1,2.8
"04年09月",2.1,1.2,2.8
"04年10月",2,1.1,2.8
"04年11月",2,1.1,2.9
"04年12月",2,1,3
"05年01月",1.9,0.9,3.2
"05年02月",1.8,0.7,3.2
"05年03月",2,0.8,3.3
"05年04月",1.8,0.6,2.8
"05年05月",1.4,0.3,2.3
"05年06月",1.6,0.3,2.3
"05年07月",1.6,0.3,2.2
"05年08月",1.6,0.2,2.1
"05年09月",2,0.5,2.3
"05年10月",1.9,0.4,2.2
"05年11月",2,0.5,2.2
"05年12月",1.9,0.3,2
"06年01月",1.8,0.2,2
"06年02月",1.7,0.1,2.2
"06年03月",1.4,-0.1,2.3
"06年04月",1.6,0.1,3.3
"06年05月",1.3,-0.1,3.9
"06年06月",1.1,-0.2,3.8
"06年07月",0.5,-0.7,3.4
"06年08月",0.4,-0.7,3.5
"06年09月",0.5,-0.7,3.6
"06年10月",0.5,-0.7,3.7
"06年11月",0.6,-0.6,3.8
"06年12月",0.7,-0.6,3.9
"07年01月",0.9,-0.4,3.8
"07年02月",1,-0.3,3.6
"07年03月",1.1,-0.2,3.3
"07年04月",1.1,-0.2,2.9
"07年05月",1.4,0,2.7
"07年06月",1.8,0.3,3
"07年07月",2,0.5,3.1
"07年08月",1.8,0.3,2.9
"07年09月",1.7,0.3,2.8
"07年10月",1.9,0.6,3.1
"07年11月",2,0.6,3.1
"07年12月",2.1,0.7,3.1
"08年01月",2.1,0.7,3.1
"08年02月",2.4,0.9,3.2
"08年03月",2.3,0.8,3.1
"08年04月",1.9,0.5,2.2
"08年05月",2.1,0.7,1.7
"08年06月",2.2,0.9,1.7
"08年07月",2.1,0.8,1.5
"08年08月",2.4,1,1.6
"08年09月",2.2,0.9,1.3
"08年10月",1.8,0.5,0.7
"08年11月",1.8,0.6,0.6
"08年12月",1.8,0.7,0.5
"09年01月",2,0.9,0.4
"09年02月",2.1,1.2,0.6
"09年03月",2.2,1.3,0.8
"09年04月",2.7,1.7,0.9
"09年05月",2.7,1.8,0.6
"09年06月",2.5,1.7,0.4
"09年07月",2.7,1.9,0.5
"09年08月",2.8,2,0.6
"09年09月",3,2.1,0.7
"09年10月",3.4,2.4,1.1
"09年11月",3.3,2.4,1.1
"09年12月",3.1,2.2,1.2
"10年01月",3,2.2,1.4
"10年02月",2.7,2,1.2
"10年03月",2.7,1.9,0.8
"10年04月",2.9,2.1,1.5
"10年05月",3.1,2.3,2.5
"10年06月",2.9,2.2,2.4
"10年07月",2.7,2.1,2.2
"10年08月",2.8,2.1,2.2
"10年09月",2.8,2.1,2.2
"10年10月",2.8,2.1,2.2
"10年11月",2.6,2,2.1
"10年12月",2.3,1.8,1.7
"11年01月",2.3,1.8,1.4
"11年02月",2.4,1.8,1.4
"11年03月",2.6,2,1.7
"11年04月",2.7,2.1,1.5
"11年05月",2.7,2.1,1.1
"11年06月",2.8,2.3,1.2
"11年07月",2.9,2.4,1.3
"11年08月",2.7,2.2,1
"11年09月",2.7,2.3,1
"11年10月",2.8,2.3,1
"11年11月",3,2.5,1
"11年12月",3.1,2.6,0.9
"12年01月",3,2.6,0.9
"12年02月",2.9,2.5,0.8
"12年03月",3,2.6,0.8
"12年04月",2.6,2.3,0.7
"12年05月",2.2,1.9,0.5
"12年06月",2.3,1.9,0.5
"12年07月",2.3,1.9,0.5
"12年08月",2.4,2.1,0.6
"12年09月",2.4,2.1,0.6
"12年10月",2.3,2,0.5
"12年11月",2.1,1.9,0.5
"12年12月",2.6,2.2,0.9
"13年01月",2.7,2.3,1.1
"13年02月",2.9,2.4,1.3
"13年03月",3,2.5,1.4
"13年04月",3.2,2.6,1.9
"13年05月",3.5,2.8,2.6
"13年06月",3.8,3.1,2.9
"13年07月",3.7,3,3
"13年08月",3.8,3,3
"13年09月",3.8,3.1,3.2
"13年10月",4.1,3.3,3.4
"13年11月",4.3,3.5,3.7
"13年12月",4.2,3.4,3.7
"14年01月",4.3,3.5,3.7
"14年02月",4,3.2,3.6
"14年03月",3.5,2.9,3.3
"14年04月",3.4,2.8,3.2
"14年05月",3.3,2.6,3
"14年06月",3,2.5,2.9
"14年07月",3,2.4,2.9
"14年08月",3,2.5,3
"14年09月",3,2.5,3.1
"14年10月",3.1,2.6,3.2
"14年11月",3.6,2.9,3.3
"14年12月",3.5,2.9,3.3
"15年01月",3.3,2.8,3.1
"15年02月",3.5,2.9,3.1
"15年03月",3.6,3,3.2
"15年04月",3.6,3,3.5
"15年05月",4.1,3.3,4
"15年06月",3.8,3.1,3.9
"15年07月",3.9,3.2,3.9
"15年08月",4.1,3.3,4
"15年09月",3.8,3,3.7
"15年10月",3.6,2.9,3.5
"15年11月",3.3,2.7,3.3
"15年12月",3.1,2.5,3.1
"16年01月",3.1,2.5,3.2
"16年02月",3.1,2.5,3.1
"16年03月",3,2.5,2.9
"16年04月",3.3,2.7,2.4
"16年05月",3.3,2.8,1.7
"16年06月",3.3,2.9,1.6
"16年07月",3.3,2.9,1.4
"16年08月",3.2,2.8,1.4
"16年09月",3.4,3,1.5
"16年10月",3.6,3.1,1.6
"16年11月",3.8,3.3,1.8
"16年12月",3.9,3.3,2.1
"17年01月",3.9,3.4,2.2
"17年02月",4.1,3.5,2.4
"17年03月",4.2,3.5,2.5
"17年04月",3.9,3.3,2.6
"17年05月",3.8,3.2,2.9
"17年06月",3.9,3.3,3.2
"17年07月",4,3.4,3.4
"17年08月",4,3.4,3.5
"17年09月",4,3.4,3.6
"17年10月",4.1,3.4,3.6
"17年11月",4,3.4,3.5
"17年12月",3.6,3.1,3
"18年01月",3.4,2.9,2.8
"18年02月",3.2,2.7,2.5
"18年03月",3.1,2.6,2.3
"18年04月",3.2,2.7,2.4
"18年05月",3.2,2.7,2.4
"18年06月",3.1,2.7,2.3
"18年07月",2.9,2.5,2
"18年08月",2.9,2.5,1.9
"18年09月",2.8,2.5,1.9
"18年10月",2.7,2.3,1.8
"18年11月",2.3,2.1,1.5
"18年12月",2.4,2.1,1.6
"19年01月",2.3,2,1.5
"19年02月",2.3,2.1,1.8
"19年03月",2.4,2.1,2
"19年04月",2.5,2.1,2
"19年05月",2.6,2.3,1.9
"19年06月",2.3,2,1.7
"19年07月",2.3,2,1.8
"19年08月",2.4,2,1.8
"19年09月",2.4,2,1.7
"19年10月",2.4,2,1.9
"19年11月",2.7,2.2,2.4
"19年12月",2.7,2.3,2.6
"20年01月",2.8,2.3,2.8
"20年02月",3,2.4,2.8
"20年03月",3.3,2.7,2.7
"20年04月",3.7,3,2.4
"20年05月",5.1,4.1,3
"マネーストック:平残前年比:% Source:日本銀行",,,
"マネーストック",,,
