"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合中分類)(単位:100万円)(総務省)","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計","(控除)輸入","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"耕種農業",212720,291835,6421,1810,0,0,0,2976530,316893,419266,84089,22754,3653,112,0,3167,49,0,0,0,0,556,0,812,29398,3579,0,0,0,156018,0,0,0,0,918,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12677,0,20642,89,28293,12044,0,0,0,0,11343,0,11,3,167,0,0,0,0,0,0,0,1828,0,0,0,0,0,0,1218,45916,0,50363,0,32012,50916,9212,800,0,0,66,56124,641252,384,29099,42079,0,0,5577234,50367,2670607,0,0,0,33372,-23733,2730613,8307847,36782,36782,2767395,8344629,-2141134,-32636,-173817,-2347587,419808,5997042
"畜産",44268,339181,16946,12,0,0,0,2600595,0,1825,0,1978,938,0,0,0,0,0,245,0,0,0,0,0,122,0,0,0,0,0,6212,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,106,5574,28713,6738,0,4856,9160,0,0,0,0,0,9248,164616,0,27,1575,0,0,3243749,0,235702,0,0,0,160052,-5230,390524,3634273,3611,3611,394135,3637884,-53023,-4761,-4613,-62397,331738,3575487
"農業サービス",329390,156508,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8252,0,0,0,0,0,0,0,0,0,0,0,0,0,11360,0,0,0,505531,0,411830,0,0,0,0,0,411830,917361,0,0,411830,917361,0,0,0,0,411830,917361
"林業",1621,0,0,101632,251,42,21,13573,0,265,0,31,0,357553,36,1530,2,0,0,623,0,0,0,0,0,5188,0,0,0,0,1455,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1385,0,345,491,1323,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1988,0,523,0,1260,2329,0,0,0,0,0,5257,51612,0,0,913,0,0,551670,3108,174150,0,0,0,0,211182,388440,940110,9787,9787,398227,949897,-137099,-1553,-11091,-149743,248484,800154
"漁業",0,0,0,0,64122,0,0,1071819,0,2796,0,3,0,0,0,0,0,0,20,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,247,2154,0,12048,0,7589,16660,0,0,0,0,0,19669,182487,0,281,3226,0,0,1432241,14509,329542,0,0,0,0,7032,351083,1783324,62427,62427,413510,1845751,-222498,-7361,-18314,-248173,165337,1597578
"石炭･原油･天然ガス",0,96,0,75,0,237,0,8595,1144,757,97,1134,191,12,0,44545,630,0,33518,3882,1291,31756,2400,7118,1305,2642,9071166,759461,324,732,30,6792,51516,8765,10988,60882,41290,1984,32,5591,2211,323,2186,546,476,5,503,1760,575,0,0,173,0,163,711,13,5053,0,168,134,243,20,8,133,56,5801547,1817478,0,11,264,42,78,0,0,154,1,0,3,0,134,17,136,0,0,3,0,0,14,5,115,1617,422,0,43,145,282,623,0,14,19,449,23,607,116,9,0,0,17800809,0,14,0,0,0,0,19041,19055,17819864,91,91,19146,17819955,-15676411,0,-1954610,-17631021,-17611875,188934
"その他の鉱業",0,0,0,239,0,0,1264,76,0,362,0,3,0,3,0,8126,30,0,1598,54548,-62,939,217,0,566,1076,-18500,27900,0,587,16,62227,165725,27599,73183,1263569,0,591,0,1256206,259,349,151,87,466,370,0,0,0,0,0,0,0,0,0,0,0,0,0,4082,0,63737,2947,191776,121733,-215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,-249,-791,0,317,640,0,1035,3315219,-5364,-6134,0,0,0,-6516,-20892,-38906,3276313,44984,44984,6078,3321297,-2465108,0,-197208,-2662316,-2656238,658981
"食料品",0,52610,0,14609,55253,0,0,5593338,485878,400758,250,556,7615,3102,0,16620,122,0,55,538,0,17531,201,0,71776,108332,70,0,220,6,20641,182,0,568,2257,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4377,0,0,0,0,0,10,11845,164023,0,184596,0,116008,214842,6238,0,0,0,0,247185,4646144,0,348,43212,0,0,12502334,419426,19805486,0,0,0,0,-27288,20197624,32699958,523413,523413,20721037,33223371,-4727859,-419001,-409352,-5556212,15164825,27667159
"飲料",0,818,35,0,20585,0,0,52039,373820,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,357,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9425,0,0,0,0,0,0,0,0,0,0,0,4648,0,0,0,0,0,5,986,2473,0,22486,0,12779,24066,0,0,0,0,398,119594,2131236,0,5,10981,0,14328,2801114,282661,4518157,0,0,0,0,-21198,4779620,7580734,80297,80297,4859917,7661031,-506406,-30453,-120843,-657702,4202215,7003329
"飼料･有機質肥料(別掲を除く。)",47131,1189364,16902,8118,78742,0,0,-79,0,68716,0,-4,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,0,0,0,0,0,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7855,70305,1837,0,579,230,0,0,0,0,0,0,0,0,11351,0,0,0,1506716,0,179899,0,0,0,0,6694,186593,1693309,7936,7936,194529,1701245,-177656,-759,-14256,-192671,1858,1508574
"たばこ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170568,3286851,0,0,0,0,24594,3482013,3482013,79278,79278,3561291,3561291,-389917,-324,-1009463,-1399704,2161587,2161587
"繊維工業製品",1061,94,96,1519,22481,0,6,54,1123,0,84,287257,525532,823,17724,7757,33310,2322,385,0,0,0,0,4961,2,358,1,0,7333,58030,8766,2234,23,0,3409,0,0,44,0,0,3449,768,2311,587,9489,1281,11440,1085,0,5974,0,1477,929,0,12070,232,18757,6826,1569,11778,32,12649,31161,1434,303,0,0,535,216,27470,260,15,0,0,3467,1050,134,11179,166,544,570,5647,49,114,32,7346,8,1027,3051,116,14,2680,4535,793,742,553,1654,0,140,15901,3081,16,937,20253,3040,24426,659,1264810,1275,80530,0,0,554,48324,-26215,104468,1369278,522337,522337,626805,1891615,-435621,-10130,-35646,-481397,145408,1410218
"衣服･その他の繊維既製品",33823,2351,4616,141,9727,769,2534,32528,4061,50,96,3299,29670,3856,3606,6338,4582,1621,1845,1605,123,3217,1140,388,6956,6169,153,291,3992,6860,486,4969,2536,3121,3617,700,4947,2266,1135,503,3815,4266,7165,10684,12623,6465,14336,22108,15617,11708,1814,3197,6243,2000,34387,3336,11595,2609,1951,17140,1549,98767,19542,15051,12091,2314,1425,3757,9143,373134,53107,1944,251,0,8955,18972,5074,10801,5244,300,1923,13520,2460,7129,3514,18467,3097,12078,128037,2562,19307,96970,8249,55564,28610,111299,35984,2745,9917,81655,47457,18581,30261,37590,34825,4115,1727,1852810,109366,4314048,0,0,279,270364,176545,4870602,6723412,125494,125494,4996096,6848906,-4073894,-259207,-340023,-4673124,322972,2175782
"木材･木製品",453,12740,93,4651,2447,96,408,11508,2017,5917,1,300,702,423865,200390,292675,8069,209,86,1,0,772,48,0,58,1969,0,0,1777,100,515,7814,196,15910,3610,0,584,646,22,0,10954,5703,4977,1451,2827,10782,340,1081,1571,955,234,1196,414,71,741,2175,7166,8448,4168,107460,0,1877110,172669,22315,36817,47910,32,0,15,73729,3024,2,15,108,24,9,0,818,14,2,1035,63878,56,659,440,293,113,1034,1407,564,1986,45,885,329,266,600,425,4,357,10132,1137,24523,1768,5824,4891,0,107,3530734,5371,47347,1731,0,668,17245,-11197,61165,3591899,35734,35734,96899,3627633,-1102916,-27470,-90362,-1220748,-1123849,2406885
"家具･装備品",0,0,45,108,607,670,941,10204,3865,22,448,1164,1431,735,50325,3902,2742,2072,399,1889,161,3746,1039,320,11305,4000,76,160,9401,3947,51,431,1708,3284,2291,839,2278,1786,12,153,2098,1447,1790,3378,6156,2785,6491,7220,6182,3096,1758,2140,8493,5741,4082,1539,8223,14062,2507,13521,127,309156,273537,825,1013,12948,1718,12749,12794,115911,85989,6608,15683,7659,2356,6601,0,4489,2076,320,4686,16289,477,45205,3165,69289,10661,13163,35696,47910,67961,77898,1449,75471,35149,62749,15234,4107,2427,88624,15271,71268,4991,43785,26265,0,1449,1944464,20925,137192,344,0,13515,427916,-27976,571916,2516380,78243,78243,650159,2594623,-694405,-1830,-55230,-751465,-101306,1843158
"パルプ･紙･板紙･加工紙",720,0,137,0,326,0,0,6438,3768,173,8366,1131,5578,23034,23748,1383000,933024,654139,0,2678,0,5,2825,11898,13947,22777,0,0,40322,10023,260,15347,0,10116,14894,0,1088,0,506,0,6060,802,3464,6662,3273,2315,5876,31830,37957,5592,395,10033,5987,2791,4,18,12971,47,1,43537,124,116308,30412,11,6,0,0,1,881,-44283,16791,0,0,4068,0,3803,0,412,308,1347,8325,61253,0,2057,6,112401,944,406043,6437,44974,75468,12,5272,12145,8704,8948,0,21,2538,88037,5087,2,2911,5492,391,178405,2277,4538222,-38161,-99900,0,0,0,0,-36970,-175031,4363191,304539,304539,129508,4667730,-389376,0,-31104,-420480,-290972,4247250
"紙加工品",200230,23537,28901,3454,1878,0,0,388796,189729,2204,10842,2386,8987,2540,19205,4328,42668,5319,1508,2131,0,8091,7335,3896,147217,132766,0,28,23674,2651,2593,16597,7586,16604,6635,0,0,10,1285,0,1167,322,22716,5286,6821,19359,5059,23386,14166,12955,1827,15212,6662,1670,889,228,8531,97,832,20245,1154,582,25338,1,0,0,0,212,3030,618584,49247,596,0,0,1995,6705,0,2984,1443,212,3436,52861,510,4252,1524,19355,1422,4785,6242,15278,35339,41023,5618,62823,41607,8309,113,4216,35,40480,3417,80990,2583,5010,11317,453691,1858,3103218,83918,259984,0,0,0,0,10294,354196,3457414,172671,172671,526867,3630085,-160888,-24,-12837,-173749,353118,3456336
"印刷･製版･製本",698,0,253,23,725,138,225,262666,10949,254,3007,385,7927,2303,6075,1015,44656,246832,121,259,199,1311,340,2140,16031,48046,200,140,3892,3037,261,7255,253,1183,394,164,887,2537,117,415,4425,1437,26101,13221,20744,25878,40562,16166,9748,32141,3906,1978,23906,7712,21208,3811,10316,3120,12027,22857,2696,18837,10219,5942,2755,25811,15404,13084,15721,544296,553092,4599,449,0,11435,23599,0,3920,1861,1733,2151,54592,10238,119921,11083,131792,30352,602150,287817,135108,363848,104792,11503,78763,17718,180586,11940,310363,13057,119770,2452,13631,10770,60443,28352,0,262,4947484,16875,42974,0,0,0,0,-6897,52952,5000436,36355,36355,89307,5036791,-59600,0,-4748,-64348,24959,4972443
"化学肥料",323372,0,509,73,0,0,0,106,183,3,0,8,6,19,0,9,26,14,71523,12406,0,41440,6399,176,7804,17515,40,-4359,0,115,5,81,0,0,137,-15936,4028,0,0,273,17,0,0,0,196,0,0,34,0,0,0,684,0,0,0,0,0,0,0,73,0,0,0,5010,1676,2469,415,0,0,0,0,79,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393,4340,0,6049,488558,0,7071,0,0,0,0,-349,6722,495280,13576,13576,20298,508856,-110939,-41,-8879,-119859,-99561,388997
"無機化学工業製品",6790,2049,1724,30,1990,0,106,113953,30268,3493,28,20074,1274,666,790,47869,3315,30,33993,327943,17478,171594,39963,6089,193292,325073,584,345,42903,113604,430,42945,2853,11617,5376,52080,33529,2712,534,9725,13480,18200,6848,13391,10458,3773,60524,18161,7188,12851,2663,41569,11095,3759,1921,76,4240,4779,3409,10927,540,4848,3740,7935,7214,84,54,34404,32247,0,0,0,0,0,206,752,0,0,0,0,1351,2456,0,0,0,0,0,1662,5710,400,90086,15085,22379,3310,2917,0,0,1906,4461,0,391,8607,10949,6377,288,0,4680,2193462,13,11151,0,0,0,0,-20627,-9463,2183999,366592,366592,357129,2550591,-500466,-7169,-40607,-548242,-191113,2002349
"石油化学系基礎製品",0,0,0,0,0,0,0,0,0,0,131,86,0,0,0,1419,55,85,6402,10882,540667,1264502,532115,917,2850,135075,1941,0,194,966,0,1249,0,0,492,0,0,41,0,0,0,0,2,191,41,0,163,985,0,0,0,0,0,0,0,0,0,34,0,1149,0,0,0,0,0,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,22366,3045,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529316,0,0,0,0,0,0,-57139,-57139,2472177,615654,615654,558515,3087831,-42821,0,-3425,-46246,512269,3041585
"有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)",0,2,465,52,0,0,645,89292,31481,2220,1626,24044,1214,4420,2623,62836,27098,2649,2371,48375,53041,1694259,956460,130223,476371,989872,3681,2150,401193,388362,915,16741,455,532,51551,517,0,45,0,1016,13466,380,1524,7125,360,8235,45409,14182,9020,10382,1937,6132,1406,41,471,301,8312,340,55,4289,0,1682,2463,3,0,0,13,306,0,0,0,0,0,0,0,6,0,0,0,0,11,4343,4,0,0,0,0,2094,165,10996,79561,17818,1647,131,644,0,11,0,4159,0,0,0,3802,0,600,0,1298,5733921,0,141,0,0,0,0,-12623,-12482,5721439,1747193,1747193,1734711,7468632,-1693541,-14234,-136622,-1844397,-109686,5624235
"合成樹脂",0,0,0,0,0,0,0,1531,0,26,0,2659,83,6249,1379,12050,11137,2602,0,0,0,0,7975,32256,0,143697,0,1,1669123,1703,2573,1212,0,0,4052,0,144,0,0,0,23793,128,1387,26,1167,18078,24569,21661,26391,13993,0,13661,6992,2171,0,0,83082,1127,208,15620,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,6930,394,0,143,0,0,0,0,0,0,0,0,0,0,0,7156,2169340,0,0,0,0,0,0,-14627,-14627,2154713,1031641,1031641,1017014,3186354,-611820,-12882,-49976,-674678,342336,2511676
"化学繊維",0,0,0,0,0,0,0,0,0,0,24259,177728,122608,231,1641,4941,74,0,0,0,0,0,0,39,0,0,0,350,3480,416,556,1093,0,0,15238,0,0,0,0,0,0,0,0,0,0,3337,0,0,0,0,0,0,0,0,0,0,0,0,0,37422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,394067,0,0,0,0,0,0,-35047,-35047,359020,238950,238950,203903,597970,-92617,-3913,-7722,-104252,99651,493718
"医薬品",0,30775,39665,0,8815,0,0,5361,0,3114,76,0,99,0,0,0,0,0,0,0,0,0,0,0,269135,8765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,135,24545,0,0,0,0,0,0,235,0,102,6,0,0,0,1217,0,0,0,0,26,12841,123,15048,8412836,31415,78690,37791,0,0,0,0,0,95,0,0,247,21,0,8861,8990071,91652,609977,0,0,0,0,14452,716081,9706152,498015,498015,1214096,10204167,-2914771,-806,-233156,-3148733,-1934637,7055434
"化学最終製品(医薬品を除く。)",256225,6449,4156,437,6026,358,11372,60178,22572,25,4235,26700,15941,77071,45096,43848,63020,150987,1483,26700,15317,61633,20943,6756,108911,812688,10858,15375,59589,32353,617,3933,19031,540,27757,1511,12162,8951,392,78,12639,28642,45356,24426,54144,80296,16814,30810,33159,8340,6389,19221,17146,12530,81097,40852,246919,41177,18579,100173,215,173021,80971,21605,18722,3763,10633,5014,12539,848,807,215,303,2213,647,6371,814,934,629,19,472,3416,9,5,2218,15044,3,42802,17152,863,125599,75393,17383,32335,29320,10480,31636,34999,64626,167309,15501,61431,141705,29225,53110,13665,5637,4292604,81517,1911356,0,0,0,0,5263,1998136,6290740,1837879,1837879,3836015,8128619,-1137730,-12690,-89261,-1239681,2596334,6888938
"石油製品",62646,4806,3600,7887,80086,677,18087,124709,21090,8342,630,16423,4758,4891,3328,24456,13054,8431,22045,36062,1958332,76769,3644,4257,13735,35843,828873,152068,10246,16159,612,31675,24390,30129,32831,18429,33403,6048,3552,9972,9401,12087,22148,13242,17798,6113,10312,8023,9408,2224,471,4708,1791,602,9074,3108,60619,9976,22013,2840,6810,68573,37266,132948,39185,701207,122807,52126,55473,150537,15618,21334,10926,57,24071,1008568,3232764,413566,719510,24915,2724,14975,6884,11261,4687,12441,897,9715,426913,39404,112411,95658,6882,18062,30739,14528,18427,8204,51726,75492,12493,104606,41816,73979,24016,0,90805,12130939,15755,5088280,0,0,0,0,-12988,5091047,17221986,1426197,1426197,6517244,18648183,-2983378,-5869,-276324,-3265571,3251673,15382612
"石炭製品",0,0,0,0,0,0,166,163,0,0,0,1,0,1,0,206,0,0,1776,1041,677,18291,0,0,0,701,0,57884,567,0,0,0,348,0,15063,419823,109910,19950,140,4049,346,68,366,153,242,153,0,0,44,0,2,0,27,0,0,0,1319,20,1409,42,186,21863,335,337479,104950,401756,0,1,896,-484,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,180,213,945,141,0,0,147,10,13768,0,0,464,0,57,1538103,136,-1491,0,0,0,0,-16605,-17960,1520143,17988,17988,28,1538131,-77478,-2273,-6380,-86131,-86103,1452000
"プラスチック製品",50125,7937,2721,10981,23642,287,260,446475,250681,1112,3141,5202,23802,20673,61539,19156,142543,237946,3938,15660,0,11419,2396,3157,252039,194418,1912,0,2700566,127945,18291,28458,2364,1299,5435,0,331,560,156,1775,44545,11307,24924,53782,106962,196500,120021,108719,156941,114760,15040,234761,129828,61760,371978,28678,746225,14111,52377,258350,2278,338332,189041,110857,93480,0,0,165949,8221,474270,98815,7950,18197,20774,0,5759,366,865,2262,1672,7450,31330,0,471,3354,170495,280,19598,27763,5637,149996,54154,82,1601,2873,11362,4135,33888,74850,71350,9000,31737,16794,47216,7077,54196,17103,9924791,17186,373606,3896,0,0,-680,-20742,373266,10298057,1591457,1591457,1964723,11889514,-959465,-24563,-78720,-1062748,901975,10826766
