"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合中分類)(単位:100万円)(総務省)","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計","(控除)輸入","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"建設補修",21019,5482,1426,1036,1207,566,2038,14490,3230,162,56,4006,4062,2224,3422,25269,10779,7800,965,9668,6238,22729,12836,4358,9337,20096,2780,3029,36534,4781,251,4374,16229,2634,10613,49887,41631,9927,4842,11539,14803,20638,22473,17351,26866,8379,10746,32165,15269,4076,2497,5325,6270,2277,3527,3446,15008,2978,8793,5472,257,18643,12302,4994,2009,253897,103326,133015,13937,276671,86761,60725,149301,512650,106170,15728,108539,8870,181,3885,24472,88471,2144,66695,53688,9731,22332,18475,324300,158673,71210,88654,2946,36422,23745,7339,16823,1509,8016,62717,8885,34483,12323,40786,20769,0,0,3699380,0,0,0,0,1332636,6151946,0,7484582,11183962,0,0,7484582,11183962,0,0,0,0,7484582,11183962
"公共事業",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12235129,11085,0,12246214,12246214,0,0,12246214,12246214,0,0,0,0,12246214,12246214
"その他の土木建設",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2685815,5444537,0,8130352,8130352,0,0,8130352,8130352,0,0,0,0,8130352,8130352
"電力",40678,32499,28109,5683,11048,11644,20303,310371,66856,10879,5623,48437,41797,45515,21369,378647,50296,113263,16558,276967,27344,197779,44113,36198,57798,87758,109471,18379,299064,77771,2976,54009,149723,22104,78254,378760,432463,207589,30426,154125,139304,52712,177678,126100,161907,56355,198883,156033,64365,17955,10386,38641,16947,9316,87563,20775,300524,44068,55793,23117,27068,81610,17887,21045,28736,1970499,74605,184248,343404,1747767,146852,218592,72548,0,397621,71731,14942,3505,8192,2875,97003,62789,8083,154569,23197,39389,13340,27252,370488,526861,156840,326050,21504,170137,117470,13357,27034,35654,39325,180810,195111,526334,144509,297908,136023,0,20473,14926305,5362,5353504,0,0,0,0,0,5358866,20285171,59034,59034,5417900,20344205,-1539,0,0,-1539,5416361,20342666
"ガス･熱供給",16,0,1233,312,25,99,23,86984,26906,1655,62,16090,3767,295,982,7702,4432,4047,5552,4998,292,9090,3331,788,23851,18263,100,967,58893,18679,130,17720,1324,12647,8157,12654,80367,32267,961,1916,18080,9594,33155,15466,17550,10924,16272,11174,7378,1016,560,7056,3013,1042,24455,23054,99962,5735,15443,3464,3142,26393,11342,6420,4096,29803,47960,7754,18155,404612,30453,30824,2548,0,4324,10461,2356,2148,1511,636,306,6411,1392,14145,4333,2948,3274,3692,106445,124529,35861,84276,6124,66909,55467,7094,847,2228,29715,86225,92262,470370,47848,17125,38895,0,812,2746441,1392,1541626,0,0,0,0,0,1543018,4289459,1798,1798,1544816,4291257,-214,0,0,-214,1544602,4291043
"水道",634,4544,1575,166,288,790,1382,52985,14523,143,2675,3184,2608,1214,1127,16465,4736,2613,1444,7730,2411,18362,5900,1964,22474,7397,5077,2997,11276,1779,138,2103,3218,573,1897,2897,20714,2065,454,3348,3528,2358,5475,6448,9431,4419,14101,9109,3930,1469,691,3228,821,560,5398,1596,8131,1814,3927,2171,3061,19011,14384,6026,5460,7848,11015,407907,44308,214782,44067,28741,3509,0,48788,17421,97081,2351,608,921,3531,26248,990,72293,2498,2850,4969,6082,158630,220933,165859,183792,6884,59436,71633,9977,2748,1190,9775,40827,58598,254121,81951,44547,32882,0,6497,2833505,2686,1902465,-307276,94876,0,0,0,1692751,4526256,20868,20868,1713619,4547124,-1534,0,0,-1534,1712085,4545590
"廃棄物処理",33,3012,1775,133,65,651,1297,27204,1430,782,794,219,605,783,418,5684,2126,2925,2050,9473,3639,7734,1479,1876,27409,10062,0,202,470,561,92,1266,8335,205,5228,3363,234,100,1,0,1505,455,527,2886,409,3426,5130,4955,1276,53,174,2257,571,423,450,679,1063,2425,15376,330,0,12528,90,56808,46017,243861,6768,8962,0,126432,111251,1025,0,0,166318,37356,0,8306,2360,3649,3233,48920,2032,126615,29697,4010,9586,7447,1083959,146092,60622,153601,12550,38113,41325,156,4218,955,8741,8026,238216,435928,63104,109603,103335,0,67363,3817263,0,292863,647716,135936,0,0,0,1076515,4893778,8508,8508,1085023,4902286,-306,0,0,-306,1084717,4901980
"商業",484586,196453,46000,19929,96398,2373,15096,2198187,390822,142906,13387,78273,185068,148386,137474,330271,314735,344736,12119,68380,24681,179845,73575,25969,284257,405698,133610,44231,624348,166470,32801,47546,78424,30224,71814,127383,262306,60914,165353,68172,267577,204801,315190,452188,666210,328007,305265,253377,417619,157680,79224,153816,157168,74207,297024,77970,1460104,150799,152206,312132,5716,1749457,807875,500010,318548,334332,103472,80993,72149,1031674,188269,21054,43043,36357,19770,212351,1052643,65760,24178,7412,15320,84020,9134,78912,20408,258120,18999,227449,391574,232280,592899,2830858,38104,280844,241555,169193,139167,53195,730205,460866,265029,3394857,166238,197538,220412,331919,47205,32587127,1663548,48154709,10279,0,496482,6899753,181619,57406390,89993517,5674864,5674864,63081254,95668381,-189500,0,0,-189500,62891754,95478881
"金融･保険",31705,15735,10969,6701,15921,5150,29135,121143,82232,5410,11111,26678,38463,18609,27090,35168,32990,46333,3678,12714,11312,38851,12537,2209,44522,56205,49597,7229,38345,17583,1982,12122,27142,12390,16329,36946,52109,12848,14079,31023,39923,60781,72809,70015,116355,74866,39492,44810,42064,19705,12967,22443,19626,14612,59974,15170,89220,39113,37506,94197,2306,347816,81003,212556,120739,378475,25449,107466,132434,1633952,1636045,1366017,914956,3857248,349597,188161,398614,157547,51612,17262,9725,80601,1107,132211,28218,76639,14514,27739,836596,279432,42435,246444,67229,218935,55171,114253,376763,14179,89605,174183,100727,156256,13384,85227,35659,0,13399,17327829,282,17774586,0,0,0,0,0,17774868,35102697,1744931,1744931,19519799,36847628,-1399404,0,0,-1399404,18120395,35448224
"不動産仲介及び賃貸",3228,0,18317,790,1115,3502,3515,74458,12522,848,28,3532,9847,4307,8878,7765,7320,23098,438,4722,4394,10356,5028,1050,28532,12831,4742,1374,35970,8144,659,3510,10900,1934,3980,7167,16785,6590,2651,2647,6007,28480,19382,27955,42394,13192,9722,12100,16120,8810,4398,11951,9361,4062,15488,3016,13844,5317,5197,5854,163,206555,28761,19854,21064,99971,38996,6284,8996,2656385,541343,585000,1417317,406469,11728,178523,157024,252467,12550,86795,149670,191390,20457,159885,45223,646706,170873,133408,63536,31857,309287,911529,26400,44774,105954,81346,128287,6504,32676,410766,53888,275669,148683,73187,157962,0,147832,11884118,0,558562,0,0,0,2853657,0,3412219,15296337,2528,2528,3414747,15298865,0,0,0,0,3414747,15298865
"住宅賃貸料",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14022828,22007,0,0,0,0,14044835,14044835,44331,44331,14089166,14089166,-1787,0,0,-1787,14087379,14087379
"住宅賃貸料(帰属家賃)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51332699,0,0,0,0,0,51332699,51332699,0,0,51332699,51332699,0,0,0,0,51332699,51332699
"鉄道輸送",945,433,625,928,1425,862,2475,22995,3582,656,428,2519,4975,2123,3094,6603,8222,13675,496,2650,2992,7434,4461,581,31296,14364,3603,1294,33099,4603,538,3220,3483,2289,9263,4245,8347,2229,723,1996,5730,16744,10079,17605,33799,18802,27454,24480,13027,6145,8458,3516,30556,5895,8599,1552,12510,3111,5961,6555,1757,40563,17545,16390,7008,13308,2419,8643,66238,522176,407374,11284,1358,45,2531,22834,2932,8946,2254,5883,3731,17317,3185,37408,20236,14643,11777,15308,277935,117289,151146,74573,5728,11318,7589,21154,7817,3479,8263,75129,6960,63000,10752,21270,20794,932,72301,2722871,21689,4488936,26,0,88,884,262,4511885,7234756,184339,184339,4696224,7419095,-39136,0,0,-39136,4657088,7379959
"道路輸送(自家輸送を除く。)",56128,153101,6941,24339,18214,1572,7903,538362,90591,39206,7111,12940,21990,49973,34306,95208,81531,68803,4867,20937,25934,67481,29273,8806,75364,111669,41158,26515,103810,30410,4309,19635,89128,12822,38603,78620,78986,42701,44813,32244,73273,58213,80982,98123,133302,66364,69997,63007,76600,27275,14019,33439,27896,21109,189255,55100,215354,33291,26839,56559,383362,590433,226281,242155,179417,254104,103613,37335,110479,432366,280741,12112,9279,2365,6296,60239,32102,13356,12785,2215,4405,44153,107466,83207,17724,111332,25322,99140,248567,78537,165056,350713,7568,47481,34306,50631,27015,22227,98004,132362,30673,386019,16122,33395,114246,58614,188214,9289835,346317,5247796,2288,0,50642,646878,37222,6331143,15620978,1168289,1168289,7499432,16789267,-71992,0,0,-71992,7427440,16717275
"自家輸送",260797,37378,13555,19662,36571,7419,150812,174857,38964,4311,4538,14793,16078,37699,12057,17226,11841,42045,1140,8029,6519,20564,2368,1556,16554,15762,5557,485,13403,4205,4023,7209,78517,2466,10086,20409,54720,8072,8463,8511,20028,38645,60860,51509,78011,48298,21146,4842,18008,6735,4821,9396,964,7372,15377,3812,26723,3746,2281,117281,11416,502183,211751,258019,108002,74098,17248,30274,97308,3187826,268605,74766,38207,35459,17472,32196,0,19564,3816,2057,4347,30386,10666,104488,26394,242757,6456,76606,454569,216519,102670,172759,7389,58578,63636,49783,105484,74491,47375,276204,144643,41776,66903,221734,172206,0,55082,9563244,0,0,0,0,0,0,0,0,9563244,0,0,0,9563244,0,0,0,0,0,9563244
"水運",13178,18116,506,490,3100,176,464,31293,5270,6257,549,828,595,6898,2242,12086,5520,3792,1005,11566,7142,12487,5651,1709,6557,12587,91641,32249,5033,2441,245,2757,22722,1290,9237,51256,17578,9524,11851,58100,3905,10316,13242,11789,16457,4343,3638,4390,6991,2139,722,2500,1592,801,41682,12672,34804,5009,3602,2458,106323,26000,8235,22191,19500,119825,21910,1800,2557,16505,7453,1010,267,564,422,46810,58629,2574803,6214,136,172,2241,2330,846,530,6119,244,3160,6826,4758,7988,8803,525,2008,1851,1392,919,391,10763,5719,1122,13273,1232,2415,2196,3843,3639,3805499,2123,174758,7,0,1934,29766,4097,212685,4018184,4167292,4167292,4379977,8185476,-2238216,0,0,-2238216,2141761,5947260
"航空輸送",27,0,1554,179,462,897,1763,4418,853,240,220,1694,4888,1043,2638,1361,2113,7694,153,961,561,2360,1211,233,33157,5530,1577,373,7349,3377,313,1037,1754,442,1200,854,3663,843,395,570,1479,4728,5830,11520,18921,6919,3102,4606,6794,3214,3998,2769,3760,1443,3782,1102,10536,570,1691,3204,1,2772,4723,1929,1668,5942,743,3813,19370,355078,39269,3984,1406,1,311,7368,20,2352,13280,2020,674,4007,33306,22338,16613,82327,6823,90551,36110,71592,79201,34310,228,1431,2948,17574,16587,19254,4305,105813,3801,10512,6062,19036,10675,106,27085,1389244,13740,1848066,7,0,186,1221,111,1863331,3252575,670852,670852,2534183,3923427,-940390,0,0,-940390,1593793,2983037
"貨物利用運送",4708,10890,487,272,1684,38,223,47573,6839,2952,440,879,1436,3254,2264,8726,6925,7241,454,1821,3723,6203,2758,804,4783,9223,11172,1943,6916,1965,268,1598,8399,944,3469,8177,5330,3190,3131,2569,4866,3582,5158,5839,8029,4249,3930,3634,4728,1922,1108,2291,2058,1058,16611,4829,16529,2296,1913,3516,1414,34136,12859,13996,11003,22922,8368,1128,1057,13143,3732,656,326,247,3554,18978,6823,2094,2554,4498,182,1807,14730,907,399,5849,187,6879,4671,3666,6866,27666,567,3176,2610,1764,1008,5713,7276,4938,2360,30062,1131,1578,1682,4722,729,600430,6019,195648,142,0,3531,43258,2986,251584,852014,89196,89196,340780,941210,0,0,0,0,340780,941210
"倉庫",10600,19448,885,563,3740,74,361,150086,15450,31933,2014,2652,4111,5308,3479,17861,12244,11401,2095,6507,4248,8405,5919,1845,8702,16274,109959,3666,20948,4446,1236,5016,10622,3111,8003,12327,12503,6063,6015,18770,27589,7437,13830,12609,16562,10580,8505,8055,13730,4204,2597,7783,4285,2466,22508,6475,29001,4272,3903,7289,24501,37920,15091,17130,13841,197969,80898,2112,2122,28589,8862,2016,596,262,999,4723,8749,1901,2905,125,358,3936,214,3648,2729,15090,762,13407,170312,8307,14482,27629,1122,6249,4450,3268,1649,2575,9936,7218,3865,56860,1670,2509,2515,6063,1074,1605778,9343,232480,407,0,3143,49418,5733,300524,1906302,144225,144225,444749,2050527,0,0,0,0,444749,2050527
"運輸附帯サービス",154,0,31,0,2870,0,329,15144,6022,1360,0,358,1978,1517,2376,13361,748,8427,1356,3507,288,4401,1415,611,6714,12084,67,296,21181,3374,199,11228,593,3067,1191,0,51158,643,747,1534,9771,274,5816,8980,6955,2696,3068,5166,36052,561,2395,5251,1062,3522,1469,3703,37184,305,1356,4584,399,0,0,272,0,0,0,0,0,454613,161,0,0,0,329583,518740,1182903,254525,791157,38894,21161,146343,0,0,0,0,0,16008,8364,13,468,0,0,0,0,0,44238,0,14,2,347106,90867,0,39047,0,0,92811,4698188,5009,2689837,42245,7368,0,0,0,2744459,7442647,833289,833289,3577748,8275936,-279516,0,0,-279516,3298232,7996420
"郵便･信書便",714,517,438,72,347,346,433,2775,683,53,91,289,377,230,271,517,775,1174,36,205,102,526,276,33,6621,1022,312,151,1883,327,46,204,390,88,331,352,1019,142,174,134,360,681,1048,1615,2357,1800,272,492,990,291,790,351,456,112,244,186,1685,182,1318,645,802,7118,9439,6107,3876,18422,9959,4662,4181,122692,247084,6251,10720,0,4173,2362,0,5703,1671,1438,2017,10344,25063,124718,9609,17398,6731,18000,168121,23420,99151,14961,7024,39066,12117,23875,4562,1426,9276,43615,6063,28345,5772,6652,17365,0,2858,1234560,11884,177745,0,0,0,0,0,189629,1424189,46413,46413,236042,1470602,-40116,0,0,-40116,195926,1430486
"通信",1481,763,2264,383,4106,2323,1406,17170,1910,337,306,1647,2246,1410,1616,2084,3281,7448,150,730,253,1627,828,114,97862,6416,1031,730,6748,2513,277,898,1616,756,1489,1524,3100,695,905,340,2081,2787,5535,10671,16161,6976,1924,3579,5669,1918,4765,2104,3051,740,2552,1013,11225,1325,1895,3914,234,15063,161989,54057,33696,6403,3202,7821,16768,1183273,425133,69174,63323,0,19978,40016,0,42324,6414,2899,2702,15396,4473,2846709,239615,69830,118562,100111,299604,14118,260515,79783,8365,79065,20250,58626,10259,44421,27721,145861,28917,170873,31566,21388,25487,0,231788,7380440,95682,8958025,0,0,0,0,0,9053707,16434147,103000,103000,9156707,16537147,-183604,0,0,-183604,8973103,16353543
"放送",772,147,107,24,5,19,37,513,80,8,137,29,53,18,41,24,89,143,7,16,33,14,17,9,33,39,324,15,4,43,3,7,50,11,16,134,61,12,38,66,110,112,7,158,210,60,101,19,194,71,3,53,32,60,191,61,24,64,48,45,48,2598,928,720,689,55,18,47,1018,29278,10583,2042,1212,0,1476,429,0,464,85,24,27,3919,117,1217,230597,379,656199,9729,284,2291,777,4397,244,1834,1883,1623,1451,2186477,1538,2287,7218,166551,39376,12246,697,0,2779,3392672,7570,1324146,0,0,0,0,0,1331716,4724388,51,51,1331767,4724439,0,0,0,0,1331767,4724439
"情報サービス",13561,9511,3424,65,2166,593,1085,59149,29455,3807,3365,2143,4658,4894,9637,16055,9396,18325,2525,6658,2946,19526,9623,1123,102192,31984,5225,811,40072,19036,527,4900,7609,5734,9674,13959,18767,7083,7979,6573,14212,15350,22885,46023,137099,30894,31786,51552,104355,5138,29586,17316,24173,54693,28375,4735,51218,6327,9681,15660,61,52354,22093,35105,35391,221141,35091,162253,18953,1638872,1367548,55897,36785,0,5339,60829,0,16525,17486,3920,19239,146651,4581,465424,32221,488306,243740,170411,633145,69291,561079,278086,33444,91574,9717,141253,106615,55340,23431,676657,68306,50687,1447,107179,49684,0,19097,9549121,2462,1022298,0,0,1055204,8262962,6418,10349344,19898465,427320,427320,10776664,20325785,-1825463,0,0,-1825463,8951201,18500322
"インターネット附随サービス",320,202,468,13,167,105,184,11194,1435,267,177,79,266,198,230,8679,2353,503,261,903,1007,1303,1156,216,18406,4209,1447,19,4086,519,36,131,622,29,697,1537,5900,771,388,581,1991,662,9268,3342,2476,5926,6326,7468,2741,117,5474,908,12178,302,4404,1222,4571,1702,720,845,44,3348,3780,254,149,351,155,1176,1406,465383,112244,2713,16418,0,7851,17129,0,2573,834,1275,1622,8142,2258,294961,53103,208126,411489,44734,22705,2620,22065,2001,797,6931,451,2619,6945,315644,26495,457159,2186,6150,2498,14660,5155,0,70496,2772802,22333,753332,0,0,0,0,0,775665,3548467,6778,6778,782443,3555245,-4515,0,0,-4515,777928,3550730
"映像･音声･文字情報制作",2317,1235,2665,727,1804,71,1005,37642,7771,1311,264,2244,6738,3340,4295,1997,5167,10153,1949,2682,497,3468,646,381,19207,7049,1752,735,7826,7302,808,660,1479,1573,2304,3621,2743,941,1239,1443,3905,4714,11763,11153,20029,10051,7855,14343,12088,2995,2849,3956,5650,4234,5439,1707,12460,2063,5318,7958,1330,56733,19671,23723,13752,7020,1064,7717,9384,247052,130972,18592,10473,0,14502,47270,0,3993,5145,3478,6198,17647,11085,159928,957916,185982,24600,439717,251526,79835,254743,114525,3294,93120,21999,104557,20391,1335116,5786,258966,22433,59069,31769,159003,25722,0,30289,5608668,52587,1203740,36245,0,0,59744,-33422,1318894,6927562,225998,225998,1544892,7153560,-300742,0,-7341,-308083,1236809,6845477
"公務",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157289,1157289,0,1167743,24098783,13315220,0,0,0,38581746,39739035,0,0,38581746,39739035,0,0,0,0,38581746,39739035
