"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合大分類)(単位:100万円)(総務省)","農林漁業","鉱業","飲食料品","繊維製品","パルプ･紙･木製品","化学製品","石油･石炭製品","プラスチック･ゴム製品","窯業･土石製品","鉄鋼","非鉄金属","金属製品","はん用機械","生産用機械","業務用機械","電子部品","電気機械","情報通信機器","輸送機械","その他の製造工業製品","建設","電力･ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産","運輸･郵便","情報通信","公務","教育･研究","医療･福祉","他に分類されない会員制団体","対事業所サービス","対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計","(控除)輸入","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"農林漁業",1566738,63,7487651,29357,362449,41547,0,156018,922,2,116,0,0,0,0,0,0,0,14,70215,63474,0,0,0,11343,0,181,2269,0,1728,92597,194454,9212,866,1219209,0,0,11310425,67984,3821831,0,0,193424,189251,4272490,15582915,112607,112607,4385097,15695522,-2553754,-46311,-207835,-2807900,1577197,12887622
"鉱業",410,1501,11031,1328,53346,142794,9840027,1643,406795,1368348,1264267,3009,633,942,375,2263,748,163,5945,4505,380410,7618810,0,11,264,42,78,445,17,442,1732,610,282,656,1121,0,1035,21116028,-5364,-6120,0,0,-6516,-1851,-19851,21096177,45075,45075,25224,21141252,-18141519,0,-2151818,-20293337,-20268113,847915
"飲食料品",1484167,0,6974720,8167,19844,198986,70,226,3007,21,0,0,0,0,0,0,0,0,0,31038,1513,0,0,0,13429,0,0,9025,15,12837,244656,577423,6238,398,7210056,0,14328,16810164,872655,27790393,0,0,0,-17198,28645850,45456014,690924,690924,29336774,46146938,-5801838,-450537,-1553914,-7806289,21530485,38340649
"繊維製品",75909,3309,37996,845758,77996,27149,445,76215,19909,9092,7767,14510,11271,22112,7746,48969,39787,9172,93332,43694,190998,3739,4292,9359,400604,53367,2210,90055,52812,131088,21999,198143,111852,147996,196041,28541,2386,3117620,110641,4394578,0,833,318688,150330,4975070,8092690,647831,647831,5622901,8740521,-4509515,-269337,-375669,-5154521,468380,3586000
"パルプ･紙･木製品",280327,2115,644298,21679,3414250,382867,264,91895,123023,9056,20432,41221,16777,19077,35241,81283,115269,31829,76729,851326,2866100,62608,12962,16720,763941,155051,34739,248724,696811,49782,289480,368696,80606,256750,316923,632096,5691,13116638,72053,344623,2075,14183,445161,-65849,812246,13928884,591187,591187,1403433,14520071,-2347585,-29324,-189533,-2566442,-1163009,11953629
"化学製品",689604,12481,394161,392524,417882,9633368,30966,2714001,206885,100710,74487,102467,45159,66366,113719,233312,213580,55140,536979,331903,328891,18489,39859,69331,848,807,2810,24020,64166,36040,345042,8789717,10480,309107,338082,13665,34291,26791339,173182,2539696,0,0,0,-120697,2592181,29383520,6349500,6349500,8941681,35733020,-7104705,-51735,-569648,-7726088,1215593,28006932
"石油･石炭製品",159025,18930,154934,21182,45936,2173173,1038825,26972,134436,611255,23768,34669,13395,18040,6266,18335,16857,2420,107538,18921,742599,1225770,52127,56369,150053,15618,32317,5448108,39118,426913,151815,151734,15473,154137,271152,0,90862,13669042,15891,5086789,0,0,0,-29593,5073087,18742129,1444185,1444185,6517272,20186314,-3060856,-8142,-282704,-3351702,3165570,16834612
"プラスチック･ゴム製品",116914,3979,710598,37007,251987,505250,2266,2975149,46677,18957,47315,56457,135750,340568,271408,264945,626922,221842,2027733,559833,821087,0,171914,66507,485152,99178,46921,155062,199499,75513,165298,140992,34573,673416,150577,69204,18437,12594887,25371,896993,3896,0,-680,-32157,893423,13488310,2462678,2462678,3356101,15950988,-1752542,-55823,-144636,-1953001,1403100,13997987
"窯業･土石製品",27301,428,107411,2266,37495,182802,5188,42147,514882,133764,78595,41479,66309,72702,126523,467995,143501,14970,311974,45186,3261761,1064,20268,2376,19250,347,5705,1598,573,7070,79446,55430,2038,46879,74098,7297,22072,6030190,11770,135468,0,0,0,-58234,89004,6119194,931599,931599,1020603,7050793,-681272,-4222,-54681,-740175,280428,6310618
"鉄鋼",736,2271,0,552,115302,937,-6,28135,49924,14269268,10401,2650451,1191982,1532422,154124,76334,713682,48754,2928437,32453,1419668,0,116,0,0,0,0,13584,0,1370,0,182,20,8154,1418,34,23064,25273769,0,-34590,0,-28047,-168467,-239348,-470452,24803317,3584574,3584574,3114122,28387891,-965443,-2306,-77420,-1045169,2068953,27342722
"非鉄金属",0,583,55438,29,30256,137635,195,33047,61138,231086,3558866,767413,390861,323587,253413,618975,1037756,221796,1319620,123585,547265,6614,1162,18,1263,0,0,726,3490,8086,4004,83667,971,25817,18452,1379,17865,9886058,1312,168957,0,0,131392,-121419,180242,10066300,2394061,2394061,2574303,12460361,-3375060,-8021,-270645,-3653726,-1079423,8806635
"金属製品",16740,17304,464540,8618,145927,245030,8050,95927,65492,23273,14901,825081,371802,540646,268124,277319,437632,146235,549357,111914,5832272,11842,3626,745,276780,4061,25350,70277,18654,175714,7818,22760,10773,76055,133078,542,27296,11331555,30178,279415,638,18447,446004,12004,786686,12118241,863564,863564,1650250,12981805,-1145426,-7377,-92053,-1244856,405394,11736949
"はん用機械",24,1870,0,0,13330,590,0,5306,13246,3266,134,12160,1635494,658076,102974,29828,212170,11896,430470,5097,391387,0,46838,0,406,1,0,4757,286,13236,0,10,0,494807,386,0,0,4088045,0,13291,0,157066,4278071,88467,4536895,8624940,3372310,3372310,7909205,11997250,-1424716,0,-113976,-1538692,6370513,10458558
"生産用機械",122,1763,0,0,1163,0,237,35359,8463,3812,1124,5767,50593,2447173,13040,40661,37647,4937,49596,1213,4279,133,1126,0,318,0,0,2442,145,645,0,0,0,726972,459,0,0,3439189,0,7805,0,99585,8574450,164159,8845999,12285188,6445904,6445904,15291903,18731092,-1876084,0,-150085,-2026169,13265734,16704923
"業務用機械",4119,0,9,0,0,21,0,0,0,0,0,216,27536,93173,588055,1610,14914,6849,21221,1724,11956,0,444,136,104030,413,0,1484,9820,127453,0,703825,0,267422,37045,36162,0,2059637,2339,101116,202,444862,4303373,73505,4925397,6985034,2027360,2027360,6952757,9012394,-1952156,-747,-156191,-2109094,4843663,6903300
"電子部品",12,21,69,3,123,147,10,7,2,30,1197,31132,78312,158528,933046,3758946,2334628,1705223,592700,69972,18936,132,95,0,2340,1583,0,304,69276,88065,64918,286,0,735625,676,52660,0,10699004,540,156676,0,0,0,91428,248644,10947648,6762588,6762588,7011232,17710236,-3864965,0,-309187,-4174152,2837080,13536084
"電気機械",2869,292,15,0,1716,81,0,303,265,0,193,9504,243985,380192,132675,274971,1849593,102344,1749866,12924,485332,77,836,0,20747,89,990,11180,11959,73193,20260,4891,0,423795,9629,0,5435,5830201,66248,3137046,0,300267,5231031,47057,8781649,14611850,6173899,6173899,14955548,20785749,-4373272,-134,-349633,-4723039,10232509,16062710
"情報通信機器",194,11,718,27,78,919,50,127,82,23,27,621,7892,4027,230,805,740,141774,346048,390,102767,366,52,102,29671,5229,5394,5830,12096,66902,5301,1789,336,102648,7965,0,0,851231,37306,3450635,0,1002831,4884831,9691,9385294,10236525,1632379,1632379,11017673,11868904,-5938214,0,-474230,-6412444,4605229,5456460
"輸送機械",72155,31,0,0,0,0,0,0,0,0,0,0,0,8497,0,0,0,0,24848093,0,0,0,0,0,0,0,0,816148,0,216263,2937,0,0,1785992,1522,0,0,27751638,0,5899609,0,857899,6865919,119233,13742660,41494298,18471877,18471877,32214537,59966175,-4255337,0,-333125,-4588462,27626075,55377713
"その他の製造工業製品",30646,3605,323847,58272,171775,101798,21632,29025,61416,216986,285673,34128,14165,51182,47941,73464,64748,41465,93023,515226,210846,222733,16542,19038,584929,564980,5750,128407,1175091,351787,762499,281994,209687,743473,348173,214894,7804,8088644,219835,3074041,10,111388,1068573,39449,4513296,12601940,766143,766143,5279439,13368083,-3105882,-108335,-224553,-3438770,1840669,9929313
"建設",30170,2604,17938,8068,41694,86227,5809,41315,33850,106287,26342,43111,17351,26866,8379,42911,27167,8547,33752,13780,37948,357223,133015,13937,276671,86761,722676,358460,170921,324300,229883,151767,7339,89065,117246,0,0,3699380,0,0,0,20550168,36587021,0,57137189,60836569,0,0,57137189,60836569,0,0,0,0,57137189,60836569
"電力･ガス･熱供給",119603,32069,509336,110091,509238,810680,128917,454407,343938,1175487,313425,273139,141566,179457,67279,382362,147357,30318,677372,177207,197529,2122867,192002,361559,2152379,177305,324512,696286,286139,476933,844091,847937,20451,401838,1966385,0,21285,17672746,6754,6895130,0,0,0,0,6901884,24574630,60832,60832,6962716,24635462,-1753,0,0,-1753,6960963,24633709
"水道",7207,2172,70326,5792,23542,67682,8074,13055,7791,26130,6876,7833,6448,9431,4419,23210,9318,1381,20866,7983,44881,18863,407907,44308,214782,44067,32250,197939,88692,158630,386792,321745,9977,54540,472099,0,6497,2833505,2686,1902465,-212400,0,0,0,1692751,4526256,20868,20868,1713619,4547124,-1534,0,0,-1534,1712085,4545590
"廃棄物処理",5018,1948,30210,824,9011,63722,202,1031,15034,3698,1505,982,2886,409,3426,10085,3760,994,19993,3347,115443,250629,8962,0,126432,111251,1025,272174,177355,1083959,206714,245589,156,21940,950186,0,67363,3817263,0,292863,783652,0,0,0,1076515,4893778,8508,8508,1085023,4902286,-306,0,0,-306,1084717,4901980
"商業",843366,17469,2745302,263341,930866,1074524,177841,790818,228008,615956,335749,519991,452188,666210,328007,558642,808339,231375,2138103,695385,3375890,437804,80993,72149,1031674,188269,100454,1490588,603888,391574,825179,3391361,169193,1383433,4244074,331919,47205,32587127,1663548,48154709,10279,496482,6899753,181619,57406390,89993517,5674864,5674864,63081254,95668381,-189500,0,0,-189500,62891754,95478881
"金融･保険",81031,34285,219896,65141,113857,182028,56826,55928,67983,115982,70946,133590,70015,116355,74866,84302,97179,34238,240983,144818,762114,403924,107466,132434,1633952,1636045,6138221,1254226,279321,836596,321867,587779,114253,654730,391253,0,13399,17327829,282,17774586,0,0,0,0,17774868,35102697,1744931,1744931,19519799,36847628,-1399404,0,0,-1399404,18120395,35448224
"不動産",23450,7017,87856,13379,28270,67351,6116,44114,20324,33193,8654,47862,27955,42394,13192,21822,41279,13423,42862,29774,276234,138967,6284,8996,2656385,541343,2408786,1060604,1156095,63536,341144,1088657,81346,578233,709389,0,147832,11884118,0,65914089,22007,0,2853657,0,68789753,80673871,46859,46859,68836612,80720730,-1787,0,0,-1787,68834825,80718943
"運輸･郵便",727074,176147,1258116,93380,473640,706928,332018,268770,375414,559263,271429,337465,219589,314393,164051,259784,335610,116407,874930,907495,2669553,951748,89767,303312,5132988,1263281,213181,6643436,1364670,1375475,1151129,1040379,169441,1185047,2066266,74280,443793,34909649,416124,15055266,52490,59524,771425,50411,16405240,51314889,7303895,7303895,23709135,58618784,-3609366,0,0,-3609366,20099769,55009418
"情報通信",48697,6828,176298,20103,74804,348065,12089,88149,40255,71397,31302,73083,71347,175975,53907,124953,202300,105113,158340,68362,536093,274500,179014,47529,3563858,2046480,276629,566315,8453606,1207264,1267334,851760,308678,5708560,1110267,0,354449,28703703,180634,13261541,36245,1055204,8322706,-27004,22829326,51533029,763147,763147,23592473,52296176,-2314324,0,-7341,-2321665,21270808,49974511
"公務",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157289,1157289,0,1167743,37414003,0,0,0,38581746,39739035,0,0,38581746,39739035,0,0,0,0,38581746,39739035
"教育･研究",510,255,10238,78,1870,8704,115,1704,2420,1654,148,4573,6562,6584,2189,15189,17531,8147,10390,481,9490,13644,480,710,19991,7814,91,65946,205183,5121,48,6220,0,38630,23691,0,737,497138,0,9186379,17513968,2824952,14978399,0,44503698,45000836,727422,727422,45231120,45728258,-2047744,0,0,-2047744,43183376,43680514
"医療･福祉",4941,0,0,0,37,457,0,14,0,51,0,0,0,0,0,0,0,0,0,113,77,672,1336,0,2479,5695,540,63021,28162,1097,1058,1069715,59,3038,4333,0,11449,1198344,800958,15688565,49902266,0,0,0,66391789,67590133,241,241,66392030,67590374,-3569,0,0,-3569,66388461,67586805
"他に分類されない会員制団体",14063,2479,35262,2419,12137,48857,2626,8090,5973,18519,3210,9676,22667,29652,9978,9565,9913,4312,11919,7933,66712,36602,41493,9458,54565,104541,26285,67908,64822,112,89032,66698,0,150037,152245,0,22612,1222372,0,3303189,0,0,0,0,3303189,4525561,34576,34576,3337765,4560137,-128344,0,0,-128344,3209421,4431793
"対事業所サービス",249280,41823,1303073,118091,264423,1336171,81314,528515,333347,297666,136404,339077,411847,564648,230558,608570,623736,195827,1517951,389443,5640065,1564693,609938,303202,8093330,4091741,2220562,6305214,8193758,3632979,3079620,3167426,343425,10316786,1986660,0,187375,69308538,80519,4069005,0,175812,1813253,0,6138589,75447127,3124773,3124773,9263362,78571900,-3783295,0,0,-3783295,5480067,74788605
"対個人サービス",2832,156,6414,582,1127,2854,286,1242,462,1676,805,1101,1241,2245,749,2282,2029,698,5426,4336,15595,1978,1253,242,80441,7039,41730,37175,521245,19362,129214,827991,11467,107367,865214,0,7812,2713668,10202054,41682589,0,0,0,0,51884643,54598311,1482962,1482962,53367605,56081273,-1274527,0,-657,-1275184,52092421,54806089
"事務用品",9661,684,24274,4088,9185,13876,397,2403,7287,4248,3106,4817,8759,16079,5459,10989,13941,4742,18499,11305,53640,1107,4169,15937,195970,128397,26226,99980,90815,113716,164800,157580,22294,114688,99326,0,959,1463403,0,0,0,0,0,0,0,1463403,0,0,0,1463403,0,0,0,0,0,1463403
"分類不明",50609,10384,229354,9558,35773,39388,5900,30644,48890,95099,43411,44088,75832,96323,17260,9535,37880,7314,90553,19646,848712,69919,40855,103640,649760,165379,139993,454627,132230,37193,423508,263930,20365,228061,151955,730,0,4728298,0,10043,0,0,0,0,10043,4738341,5295,5295,15338,4743636,-50648,0,0,-50648,-35310,4692988
"内生部門計",6745524,406877,24091329,2141704,7690329,18632608,11766749,8641701,3247540,20125255,6642575,6470673,5838169,8984331,4038619,8434216,10237513,3529645,41950614,5312527,32331517,15817517,2277193,1658125,28751025,11506174,12835606,26668344,24170730,11591974,11721215,25663137,1770985,28016958,25646651,1463403,2760622,469579674,15055500,305616414,105529331,28141456,108791468,503254,563637423,1033217097,86769418,86769418,650406841,1119986515,-93036242,-1042351,-8089534,-102168127,548238714,1017818388
"家計外消費支出(行)",81621,37190,342574,44537,203189,368377,56522,246192,105475,231180,95376,182857,169623,265910,129403,211615,253068,101923,458348,187712,1245000,244536,64313,120444,2284242,1073243,313301,900015,930419,434274,427528,747403,164900,1146548,1167082,0,19560,15055500,,,,,,,,,,,,,,,,,,
"雇用者所得",1493931,174033,5021160,910077,1982618,2497344,195483,3150535,1415936,1640506,888569,3368420,2396366,3986639,1394260,2756621,3109132,1044323,7115414,2545065,21261542,1938574,652458,2354221,37218350,11062022,4671805,15584730,10500244,14323697,22193731,34180364,2201284,25744085,14766246,0,59433,265799218,,,,,,,,,,,,,,,,,,
"営業余剰",2810764,77159,3614827,-116602,974590,1791892,691733,45230,637194,3420045,626890,378130,928139,1592368,228819,-654142,-276956,-327366,790073,573131,1706690,703991,598643,281118,14811175,8985785,31773515,3207488,7226210,0,785097,2440063,-30808,6903490,5142128,0,1564821,103905324,,,,,,,,,,,,,,,,,,
"資本減耗引当",1997177,93280,1985337,441852,805797,4142051,464116,1411817,707662,1489436,487745,997703,1041665,1743589,1020380,2651799,2656882,1034743,5145607,1024384,2336988,5108260,975693,394465,8486201,2600383,27160967,6343117,5525133,13315220,8077850,4335297,273098,9389750,5175531,0,230144,131071119,,,,,,,,,,,,,,,,,,
"間接税(関税･輸入品商品税を除く。)",513516,59637,3418929,164475,297195,574733,3722751,502575,196849,436376,65509,339252,84648,132175,91857,136055,83140,73225,-82013,286601,2246829,828744,202815,93628,3974876,746737,3986729,2454817,1622477,73870,617933,986028,152621,3591433,2908799,0,82141,35667962,,,,,,,,,,,,,,,,,,
"(控除)経常補助金",-754911,-261,-133507,-43,-89,-73,-62742,-63,-38,-76,-29,-86,-52,-89,-38,-80,-69,-33,-330,-107,-291997,-7913,-225525,-21,-46988,-526120,-22980,-149093,-702,0,-142840,-765487,-100287,-3659,-348,0,-23733,-3260409,,,,,,,,,,,,,,,,,,
"粗付加価値部門計",6142098,441038,14249320,1444296,4263300,9374324,5067863,5356286,3063078,7217467,2164060,5266276,4620389,7720592,2864681,5101868,5825197,1926815,13427099,4616786,28505052,8816192,2268397,3243855,66727856,23942050,67883337,28341074,25803781,28147061,31959299,41923668,2660808,46771647,29159438,0,1932366,548238714,,,,,,,,,,,,,,,,,,
"国内生産額",12887622,847915,38340649,3586000,11953629,28006932,16834612,13997987,6310618,27342722,8806635,11736949,10458558,16704923,6903300,13536084,16062710,5456460,55377713,9929313,60836569,24633709,4545590,4901980,95478881,35448224,80718943,55009418,49974511,39739035,43680514,67586805,4431793,74788605,54806089,1463403,4692988,1017818388,,,,,,,,,,,,,,,,,,
