"Date","全産業活動指数(ウエイト:100)","鉱工業及び第3次産業の統合指数(ウエイト:94.23)","第3次産業活動指数(ウエイト:73.45)","鉱工業生産指数(ウエイト:20.78)","建設業活動指数(ウエイト:5.77)"
"08年02月",0.9,0.7,0.9,0.3,4.5
"08年03月",1,0.8,1.3,-0.9,4.4
"08年04月",-1.1,-1.5,-1.7,-0.6,5.5
"08年05月",-0.3,0,-0.2,0.5,-4.9
"08年06月",-1.1,-1.2,-0.8,-2.8,1.3
"08年07月",-0.2,-0.2,-0.2,-0.2,0.5
"08年08月",-1.4,-1.7,-1.1,-3.5,1.6
"08年09月",0.8,0.7,0.5,1.2,1.9
"08年10月",-0.8,-0.9,-0.4,-2.4,0.6
"08年11月",-2.1,-2.2,-0.9,-6.7,-0.8
"08年12月",-2.1,-2.2,-0.5,-8.3,0.4
"09年01月",-3.3,-2.5,-0.9,-8.8,-14.9
"09年02月",-2.3,-2.7,-1.3,-8.6,5
"09年03月",0.5,0.2,-0.1,1.3,6.1
"09年04月",0.9,0.5,-0.3,4.4,7.2
"09年05月",0.2,0.5,-0.2,3.7,-5.1
"09年06月",0.4,0.6,0.3,1.9,-1.6
"09年07月",0,0.1,-0.2,1.3,-0.8
"09年08月",0.3,0.4,0.2,1.5,-2.6
"09年09月",0.8,0.9,0.3,3.4,-0.4
"09年10月",0.3,0.4,-0.2,2.5,-0.9
"09年11月",0.3,0.3,-0.1,2.1,0
"09年12月",0.1,0,-0.2,0.8,-0.1
"10年01月",1.5,1.7,1.4,2.5,-0.1
"10年02月",-0.5,-0.6,-0.8,0.4,0.3
"10年03月",0.7,0.9,1.1,0.2,-2.1
"10年04月",0.2,0.4,0.2,1.1,-3.6
"10年05月",-0.8,-1,-1.3,-0.2,4.1
"10年06月",0.1,0.1,0.4,-0.8,-1.3
"10年07月",0.7,0.7,0.6,1.1,1.1
"10年08月",0.5,0.4,0.4,0.4,1.4
"10年09月",0,0.1,-0.3,1.6,-2
"10年10月",-1,-1,-0.5,-2.8,0.7
"10年11月",0.9,1,0.8,1.6,-0.2
"10年12月",-0.2,-0.3,-0.5,0.6,-0.1
"11年01月",0.8,0.8,0.9,0.5,0.7
"11年02月",0.2,0.3,0.2,0.6,-0.6
"11年03月",-7.1,-7.3,-4.6,-16.5,-3.8
"11年04月",1.6,1.9,1.8,2.1,-2.4
"11年05月",1.6,1.6,0.3,6.8,0.4
"11年06月",2.3,2.4,1.8,4.2,0.2
"11年07月",0.7,0.6,0.5,1.2,1.4
"11年08月",0.2,0.3,-0.2,1.7,1.2
"11年09月",-0.1,-0.3,-0.1,-0.9,1.7
"11年10月",0.7,0.9,0.7,1.8,-2.5
"11年11月",-0.8,-0.7,-0.3,-2.2,-1.9
"11年12月",1.1,1.2,1,2,-1.6
"12年01月",-0.1,-0.3,-0.5,0.4,3.7
"12年02月",0.4,0.3,0.4,-0.2,2.4
"12年03月",-0.5,-0.4,-0.5,-0.2,-0.6
"12年04月",0.2,0.1,0.3,-0.5,1.2
"12年05月",-0.1,-0.3,0.2,-1.8,1.2
"12年06月",0,0,0.2,-0.8,0
"12年07月",-0.3,-0.2,-0.1,-0.5,-0.6
"12年08月",-0.1,-0.1,0.2,-1.4,-0.6
"12年09月",-0.9,-1,-0.6,-2.2,1
"12年10月",0.5,0.6,0.6,0.3,-1
"12年11月",-0.2,-0.4,-0.2,-1,1.8
"12年12月",0.6,0.7,0.5,1.4,0.5
"13年01月",-0.5,-0.6,-0.6,-0.7,1.4
"13年02月",0.7,0.6,0.6,0.9,0.5
"13年03月",0.3,0.3,0.3,0.3,0.7
"13年04月",0.1,0.1,-0.1,0.6,1.7
"13年05月",0.9,0.7,0.4,2.1,3.2
"13年06月",-0.6,-0.8,-0.3,-2.8,1.9
"13年07月",0.6,0.6,0,2.7,1.3
"13年08月",0.1,0.2,0.4,-0.5,-1.2
"13年09月",0.3,0.2,-0.1,1.5,1
"13年10月",-0.1,-0.1,-0.4,0.6,0.5
"13年11月",0.6,0.5,0.6,0.3,1.5
"13年12月",-0.1,-0.1,-0.2,0.5,-1
"14年01月",1,1.2,0.6,3.2,-0.6
"14年02月",-0.7,-0.7,-0.3,-2.1,-0.4
"14年03月",1.6,1.8,2.1,0.5,-1.3
"14年04月",-4,-4,-4.5,-2.3,-3.1
"14年05月",0.7,0.7,0.9,0.3,0.3
"14年06月",-0.6,-0.6,-0.3,-1.9,-0.2
"14年07月",0,0.1,0.2,-0.1,-1.5
"14年08月",-0.2,-0.2,-0.1,-0.8,1.1
"14年09月",0.9,0.8,0.7,1.4,0
"14年10月",0.1,0.1,0,0.4,0.5
"14年11月",-0.2,-0.1,0,-0.6,0.1
"14年12月",0.4,0.3,0.4,0.2,-0.1
"15年01月",0.9,1,0.5,2.9,-0.1
"15年02月",-0.4,-0.4,0.1,-2.2,-0.6
"15年03月",0,0,0.1,-0.5,0.9
"15年04月",0.3,0.2,0.1,0.7,0.7
"15年05月",-0.6,-0.6,-0.2,-2.2,-0.2
"15年06月",0.5,0.5,0.2,1.7,0.3
"15年07月",-0.1,-0.1,0.1,-0.9,0.6
"15年08月",0,0,0.2,-0.7,-0.1
"15年09月",-0.3,-0.3,-0.4,0.3,-1
"15年10月",0.8,0.8,0.6,1.2,1.2
"15年11月",-0.9,-0.7,-0.6,-1.1,-2.8
"15年12月",-0.6,-0.6,-0.4,-1.2,-0.7
"16年01月",1.1,0.9,0.9,1.1,2.4
"16年02月",-0.3,-0.2,0.2,-1.8,-0.1
"16年03月",0,0,-0.3,1.2,-1.6
"16年04月",0.4,0.3,0.3,0.4,2.7
"16年05月",-0.5,-0.6,-0.5,-1.2,0.7
"16年06月",0.6,0.7,0.5,1.5,0.3
"16年07月",0.1,0.1,0.1,0,0.5
"16年08月",0.4,0.3,0.1,1.3,-0.5
"16年09月",0,-0.1,-0.2,0.3,1.4
"16年10月",0,0.2,0.1,0.3,-1
"16年11月",0.3,0.4,0.2,1,-1.1
"16年12月",0,0,-0.1,0.7,-0.7
"17年01月",0,-0.2,0,-1.1,2.6
"17年02月",0.2,0.2,0,1,0
"17年03月",-0.4,-0.3,-0.3,-0.5,-0.6
"17年04月",1.6,1.5,1.1,2.9,4.1
"17年05月",-0.3,-0.6,-0.1,-2.1,2.8
"17年06月",0,0.2,-0.1,1.2,-2.3
"17年07月",0,0,0.1,-0.3,-0.3
"17年08月",0.3,0.4,0.1,1.3,-0.8
"17年09月",-0.4,-0.3,-0.2,-0.6,-0.7
"17年10月",0.2,0.2,0.1,0.5,-0.4
"17年11月",0.7,0.7,0.7,0.7,0.2
"17年12月",0.4,0.5,0.1,1.8,0.1
"18年01月",-0.9,-1.1,-0.2,-4.3,0.3
"18年02月",0.6,0.7,0.2,2.6,-0.4
"18年03月",-0.2,-0.1,-0.5,1.1,-0.8
"18年04月",0.6,0.5,0.8,-0.6,1
"18年05月",0.1,0.1,0.1,0.3,-0.3
"18年06月",-0.5,-0.4,-0.2,-1.1,-1.1
"18年07月",0,0,0,0.1,-0.7
"18年08月",0.3,0.4,0.5,-0.2,0
"18年09月",-0.8,-0.8,-0.9,-0.1,-0.6
"18年10月",1.4,1.5,1.4,2,-1.2
"18年11月",-0.3,-0.3,-0.1,-1,0.2
"18年12月",-0.1,0,-0.1,0.1,-1.5
"19年01月",0,-0.2,0.5,-2.3,2.3
"19年02月",0,0,-0.3,1,0.7
"19年03月",-0.2,-0.2,-0.2,-0.5,0.2
"19年04月",0.4,0.3,0.5,-0.1,0.4
"19年05月",0.1,0.1,-0.3,1.5,0.6
"19年06月",-0.7,-0.7,-0.1,-2.6,-0.4
"19年07月",0.1,0.2,0,0.7,-0.7
"19年08月",-0.3,-0.4,0,-1.7,-0.4
"19年09月",2.5,2.8,2.9,1.9,-1.1
"19年10月",-5,-5.3,-5.6,-4,-0.3
"19年11月",0.6,0.6,1,-0.6,0
"19年12月",0.1,0.2,0.2,0.2,-2.6
"20年01月",0.6,0.7,0.3,2,1.2
"20年02月",-0.7,-0.7,-0.8,-0.3,-1.8
"20年03月",-3.8,-4.1,-4.2,-3.7,1.4
"前月比(%):全産業活動指数【月次】業種別指数(2010=100.0):季節調整値 Source:経済産業省",,,,,
"全産業活動指数:季節調整値",,,,,
